kod,temata,zapocet,zkouska,pozor,delka_puvodni
NPFL103,"Úvod, základní pojmy a principy vyhledávání informací|Boolský model, indexování, vektorový model|Evaluace ve vyhledávání informací|Rozšiřování dotazů|Pravděpodobnostní modely a jazykové modely|Klasifikace textu a shlukování dokumentů|Hledání na webu a hledání blízkých duplicit",Zápočet bude udělen po splnění dvou domácích úkolů,K absolvování předmětu je zapotřebí zápočet i zkouška|Výsledná známka závisí na výsledcích zkoušky a na řešení domácích úkolů,,182
NPFL138,"Dopředné hluboké neuronové sítě: základní architektury, aktivační funkce, optimalizační algoritmy pro trénování|Regularizace hlubokých modelů: penalizace normou parametrů, dropout, label smoothing, batch normalization, víceúlohové učení|Konvoluční neuronové sítě: konvoluční a slučující vrstvy, architektury pro velmi hluboké sítě, rozpoznávání obrazu, detekce objektů a segmentace|Předtrénování a finetuning hlubokých neuronových sítí|Rekurentní neuronové sítě: problémy trénování, LSTM, gated recurrent units, obousměrné a hluboké sítě, enkodér-dekodér architektury|Praktická metodika: výběr vhodné architektury a volba hyperparametrů|Zpracování přirozeného jazyka: distribuovaná reprezentace slov, reprezentace slov jako sekvence znaků, transformer, značkování, rozpoznávání entit, strojový překlad|Hluboké generativní modely (variační autoenkodéry, GAN, difúzní modely), strukturovaná predikce a CTC loss, úvod do hlubokého zpětnovazebního učení","Zápočet je udělován za vypracování dostatečného množství úloh|Úlohy jsou zadávány pravidelně celý semestr, na vypracování každé z nich je několik týdnů",,Vzhledem ke způsobu obdržení zápočtu není možné jeho získání opakovat|Získání zápočtu není podmínkou k připuštění ke zkoušce|SIS uvádí jen obecnou podmínku; konkrétní bodování a termíny úloh zveřejňuje ÚFAL na stránce kurzu,281
NPFL139,"Základní rámec zpětnovazebního učení|Tabulkové metody: dynamické programování, Monte Carlo metody, temporal-difference metody, n-krokový bootstrapping|Funkcionální aproximace, hluboké Q sítě, Rainbow architektura, distribuované zpětnovazební učení|Policy gradient metody: REINFORCE, REINFORCE with baseline, actor-critic, Proximal Policy Optimization|Doména spojitých akcí: DDPG, Twin Delayed DDPG, Soft Actor Critic|Prohledávání Monte Carlo tree search a architektura AlphaZero|Algoritmy využívající modely: MCTS s natrénovaným modelem, world modely, optimalizace latentních diskrétních proměnných|Úvod do multiagentního zpětnovazebního učení","Zápočet je udělován za vypracování dostatečného množství úloh|Úlohy jsou zadávány pravidelně celý semestr, na vypracování každé z nich je několik týdnů",,Vzhledem ke způsobu obdržení zápočtu není možné jeho získání opakovat|Získání zápočtu není podmínkou k připuštění ke zkoušce|SIS uvádí jen obecnou podmínku; konkrétní bodování a termíny úloh zveřejňuje ÚFAL na stránce kurzu,281
NPFL140,"Základy neuronových sítí pro modelování jazyka|Typologie jazykových modelů|Získávání a správa dat, navazující úlohy|Trénování: samoučení, zpětnovazební učení s využitím lidských anotací|Dolaďování a odvozování, vícejazyčnost a mezijazykový přenos|Aplikace velkých jazykových modelů, například konverzační systémy, robotika, generování kódu|Multimodalita: CLIP, difuzní modely|Společenské dopady a interpretabilita",Práce na projektu|Aktivní účast,Závěrečný test,,48
NPRG071,Praktická práce studenta ve firemním týmu na větším softwarovém díle|Týmová práce na větším softwarovém projektu formou stáže ve firemním prostředí|Stáž musí být předem uznána projektovou komisí a prokazatelně zaměřená na vývoj softwarového díla|Předmět se vypisuje pro jednotlivce,Vypracovat zprávu dokumentující podíl studenta na realizaci firemního projektu|Účast na projektu je zakončena veřejnou obhajobou,,Předmět není vhodný pro studenty na výměnných projektech Erasmus ani na krátkodobých stážích,245
NSZZ023,"Předmět je pro studenty všech studijních programů navazujícího magisterského studia|Náplň předmětu určuje vedoucí diplomové práce|Výuka se typicky odehrává formou konzultací mezi vedoucím a studentem|Kredity uděluje vedoucí práce, který si sám stanoví kritéria pro jejich udělení",O podmínkách udělení zápočtu rozhoduje vedoucí diplomové práce,,,63
NSZZ024,"Předmět je pro studenty všech studijních programů navazujícího magisterského studia|Náplň předmětu určuje vedoucí diplomové práce|Výuka se typicky odehrává formou konzultací mezi vedoucím a studentem|Kredity uděluje vedoucí práce, který si sám stanoví kritéria pro jejich udělení",O podmínkách udělení zápočtu rozhoduje vedoucí diplomové práce,,,63
NSZZ025,"Předmět je pro studenty všech studijních programů navazujícího magisterského studia|Náplň předmětu určuje vedoucí diplomové práce|Výuka se typicky odehrává formou konzultací mezi vedoucím a studentem|Kredity uděluje vedoucí práce, který si sám stanoví kritéria pro jejich udělení",O podmínkách udělení zápočtu rozhoduje vedoucí diplomové práce,,,63
NPFL123,"Druhy dialogových systémů, jejich komponenty a reprezentace znalostí, chatboty a AIML|Lingvistické základy: turn-taking, řečové akty, implikatury, grounding, koreference|Data a evaluace: Wizard-of-Oz, otevřená doména, úspěšnost dialogu, problémy evaluace chatbotů|Porozumění jazyku: klasifikace vět, rozpoznání jmenných entit|Sledování stavu dialogu jako MDP nebo POMDP|Řízení dialogu, využití zpětnovazebního učení|Generování jazyka: šablony, pravidla, statistické generování|Question answering a hlasoví asistenti, báze a grafy znalostí|Dialogové toolkity: intents, slots, entities, Alexa Skills, DialogFlow, Watson Assistant|Rozpoznávání a syntéza řeči: zpracování signálu, fonetika, metody syntézy|Chatboty pro otevřenou doménu: pravidlové, vyhledávací, generativní, hybridní (Alexa Prize)|Předmět je součástí meziuniverzitního programu prg.ai Minor",Plnění zápočtových úkolů na cvičení (implementační úlohy z dialogových systémů),Písemný test založený na odpřednesené látce,,151
NMAI061,"Od dat k modelu a zpět, grafická reprezentace dat a popisná statistika|Náhodná veličina a náhodné vektory, jejich charakteristiky|Vybraná diskrétní a spojitá rozdělení, normální rozdělení a rozdělení z něj odvozená|Limitní zákony teorie pravděpodobnosti a jejich využití ve statistice|Principy teorie odhadu, bodové a intervalové odhady|Principy testování hypotéz, U-test, t-test, F-test a jejich pořadové varianty|Testy dobré shody, jedno-, dvou- a vícevýběrový problém|Regresní analýza, kontingenční tabulky|Bayesovský přístup k analýze dat|Předpokládá znalosti v rozsahu bakalářského NMAI059",Účast na cvičení|Úspěšné vyřešení písemného zápočtového úkolu,,SIS uvádí u zápočtu účast na cvičení; podmínky zkoušky neuvádí,94
NPGR036,"Snímání obrazu, vlastnosti digitálního obrazu|Barva, modely barev, kvantování barev|Matematická morfologie|Segmentace obrazu: K-means, mean-shift, watershed|Detekce, popis a párování lokálních příznaků a jejich aplikace|Detekce a sledování objektů (např. tváří), optický tok|Významné oblasti v obraze, sledování pohybu očí",,,"SIS podmínky zakončení neuvádí, jen odkaz na stránku vyučující (cgg.mff.cuni.cz/~sikudova)",42
NAIL106,"Inteligentní agenti, prostředí, abstraktní architektury|Reaktivní a plánovací agenti, hybridní architektury|Agenti založení na logice a zdůvodňování, BDI|Komunikace, řečové akty, ACL|Ontologie, OWL, KIF|Distribuované řešení problémů, kooperace|Multiagentní interakce, Nashova ekvilibria, Paretova efektivita|Alokace zdrojů, aukce, smlouvání|Metodologie návrhu multiagentních systémů, Gaia, role|Jazyky a prostředí multiagentních systémů, JADE",,Ústní zkouška,"Předmět je v SIS na Z+Zk, ale podmínky uvádějí jen „Ústní zkouška“ — co se chce na zápočet, SIS neříká",13
NDBI031,"Dobývání znalostí z dat a jeho souvislost se statistikou|Hlavní typy systémů pro dobývání znalostí z dat|Statistické metody v Clementine jako obecném systému|Statistické metody v DecisionSite, systému pro on-line podporu rozhodování|Matlab jako univerzálnější systém: popisné statistiky, lineární regrese a její zobecnění|Mnohorozměrná statistická analýza a testování hypotéz v Matlabu|4FT-Miner: akademický systém kombinující observační logiku a čtyřpolní tabulky|Kvantifikátory observační logiky založené na odhadech parametrů a na testování hypotéz|V letním semestru volně navazuje NAIL105 Internet a klasifikační metody",Předvedení výsledků úkolů ze cvičení,,"Předmět je v SIS na Z+Zk, ale podmínky popisují jen zápočet; ke zkoušce SIS nic neuvádí",37
NAIL052,"Referativní seminář o aktuálních teoretických i praktických otázkách výzkumu UI|Referáty vycházejí z publikovaných článků|Reprezentace znalostí, znalostní inženýrství|Splňování podmínek, logické odvozování|Řešení úloh, hry, plánování|Strojové učení, agentové systémy|Aplikace UI",Vlastní prezentace|Aktivní účast na minimálně 80 % seminářů|Prezentaci a osobní účast lze nahradit písemnou zprávou jen ve zvláštních případech a po schválení vyučujícím,,Zápočet se nedá opakovat|Povinná aktivní účast na 80 % seminářů,227
NAIL100,"Seminář se schází jednou za dva týdny v rozsahu 2 vyučovacích hodin|Vystoupení diplomantů a doktorandů z MFF, FJFI a FEL, zvané přednášky vědeckých pracovníků|Vítány jsou i referáty o zajímavé knize či článku ze strojového učení|Uvedená témata jsou příklady z minulých let, ne omezení|Učení pravidel z dat, asociační a klasifikační pravidla, fuzzy pravidla|Induktivní inference a induktivní logické programování, případové a transduktivní učení|Statistické učení, PAC učení, shlukování podle podobnosti i samoorganizací|Evoluční učení, genetické algoritmy a programování, diferenční evoluce, EDA|Neuronové sítě: perceptrony, RBF sítě, samoorganizující mapy, kombinace s evolučními algoritmy|SVM, hierarchické regresní modely, rozhodovací stromy, náhodné lesy|Ensemblové metody, fuzzy agregace klasifikátorů, spolehlivost predikce|Vizualizace dat a modelů, aplikace ve fyzice, chemii, biologii a hrách","Pasivní účast na všech seminářích (s výjimkou omluvené neúčasti), a to ve dvou různých semestrech",,Zápočet vyžaduje účast ve dvou různých semestrech; nemusí jít o semestry po sobě jdoucí,228
